id,outlet,url,published_at,title,lead,rubric,language,country
2e53cfab69eb,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/25/1186245-tramp-beskonechnoi-voini,2026-03-28 15:24:05,Reuters: Трамп пытается избежать «бесконечной войны» с Ираном,,Политика / Международные новости,ru,RU
8b3a2128135e,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186254-saudovtsi-prokachku-nefti,2026-03-28 15:35:34,Bloomberg: саудовцы нарастили прокачку нефти в обход Ормуза до максимума,,Политика / Международные новости,ru,RU
439e3e28c893,vedomosti,https://www.vedomosti.ru/society/news/2026/03/26/1186255-temperatura-klimaticheskuyu-normu,2026-03-28 15:45:33,Температура в Московском регионе в начале апреля превысит климатическую норму,,Общество,ru,RU
73f3ff8080de,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186256-zhurnalistov-pogibli-livane,2026-03-28 15:58:35,"При ударе Израиля по Ливану погибла журналистка, сотрудничавшая с «Известиями»",,Политика / Международные новости,ru,RU
2f9123b128ea,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186258-parizhe-terakt-bank,2026-03-28 16:03:40,Подросток пытался взорвать офис Bank of America в Париже,,Политика / Международные новости,ru,RU
0086b52f0d36,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186257-emirates-global-aluminium,2026-03-28 16:22:10,При иранском ударе по Абу-Даби пострадали сотрудники Emirates Global Aluminium,,Политика / Международные новости,ru,RU
d838e42941ed,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186260-ilya-malinin-chempionata,2026-03-28 16:26:39,Фигурист Илья Малинин завоевал золото чемпионата мира,,Политика / Международные новости,ru,RU
30b119413100,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186251-zelenskii-rubio-trebovaniyah-ssha,2026-03-28 16:35:06,Зеленский отверг обвинения Рубио во лжи о требованиях США,,Политика / Международные новости,ru,RU
9e647101e8e2,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186262-pehotoi-blizhnii-vostok,2026-03-28 16:40:01,Корабль ВМС США с морской пехотой прибыл на Ближний Восток,,Политика / Международные новости,ru,RU
5976fac002af,vedomosti,https://www.vedomosti.ru/business/news/2026/03/26/1186263-zakona-piva-stadioni,2026-03-28 17:11:42,Минздрав заблокировал принятие закона о возвращении пива на стадионы,,Бизнес / Торговля и услуги,ru,RU
e9b149b68ff2,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186264-minimalnii-vozrast-armii,2026-03-28 17:30:17,В Иране снизили минимальный возраст для службы в армии до 12 лет,,Политика / Международные новости,ru,RU
eebe43ca5db0,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186267-26-ukrainskih-dronov,2026-03-28 17:47:09,Силы ПВО сбили 26 украинских дронов над регионами РФ,,Политика / Армия и спецслужбы,ru,RU
ec12fc528763,vedomosti,https://www.vedomosti.ru/society/news/2026/03/28/1186268-oksimirona-rozisk,2026-03-28 18:20:06,Рэпера Оксимирона переобъявили в розыск в России,,Общество,ru,RU
c20ed4912040,vedomosti,https://www.vedomosti.ru/society/news/2026/03/28/1186269-manyak-gaskov,2026-03-28 18:40:09,"Маньяк Гаськов заявил, что совершил более сотни убийств",,Общество,ru,RU
12332ccae626,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186271-fitso-sanktsii,2026-03-28 19:15:07,Фицо: Словакия заблокирует новые санкции против РФ из-за ситуации с нефтью,,Политика / Международные отношения,ru,RU
18998f2d03de,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186272-udare-saudovskoi-aravii,2026-03-28 19:41:38,WSJ: при ударе Ирана по авиабазе США поврежден самолет E-3 Sentry,,Политика / Международные новости,ru,RU
41eccee0fb8d,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/27/1186273-rosaviatsiya-aeroporta-volgograda,2026-03-28 19:50:31,Росавиация ограничила работу аэропорта Волгограда,,Политика / Армия и спецслужбы,ru,RU
764c8be8b715,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/28/1186274-dmitriev-energokrizis,2026-03-28 20:14:09,"Дмитриев: ЕС долго осознает энергокризис, будто нажал «отложить» на будильнике",,Политика / Международные отношения,ru,RU
5384fbd7b717,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/25/1186275-rossiiskimi-deputatami-vashingtona,2026-03-28 20:41:42,Самолет с российскими депутатами вылетел из аэропорта Вашингтона,,Политика / Международные отношения,ru,RU
ad874fb9f5fa,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186278-chislo-sbitih,2026-03-29 04:15:58,Число сбитых над Ленобластью беспилотников достигло 31,,Политика / Армия и спецслужбы,ru,RU
5940e2eb7722,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186279-mid-rf-zayavili,2026-03-29 04:24:16,В МИД РФ заявили об активизации «охоты» американских спецслужб за россиянами,,Политика / Международные отношения,ru,RU
dbdf29075f2d,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186280-peskov-nazval-vazhnimi,2026-03-29 04:38:12,Песков назвал важными даже «робкие» попытки восстановить отношения России и США,,Политика / Международные отношения,ru,RU
7568dcd1300a,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186281-sili-pvo-za-noch,2026-03-29 04:45:04,Силы ПВО за ночь уничтожили 203 украинских беспилотника над регионами России,,Политика / Армия и спецслужбы,ru,RU
45c628b65375,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186282-wp-pentagon,2026-03-29 04:52:41,WP: Пентагон готовит недельные рейды в Иране,,Политика / Международные новости,ru,RU
ba024f6cb32d,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186283-britanskom-derbi,2026-03-29 05:02:52,"В британском Дерби автомобиль въехал в толпу, есть пострадавшие",,Политика / Международные новости,ru,RU
d1b49b5c5628,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186284-berliner-zeitung,2026-03-29 05:09:52,Berliner Zeitung: Украина не соответствует ожиданиям в качестве кандидата в ЕС,,Политика / Международные отношения,ru,RU
ea3492d6a0f2,vedomosti,https://www.vedomosti.ru/politics/news/2026/03/29/1186285-peskov-zayavil,2026-03-29 05:17:10,Песков заявил о готовности России к углублению отношений с США,,Политика / Международные отношения,ru,RU
